,Country,2020-01-31_cases,2020-02-29_cases,2020-03-31_cases,2020-04-30_cases,2020-05-31_cases,2020-06-30_cases,2020-07-31_cases,2020-08-31_cases,2020-09-30_cases,2020-10-31_cases,2020-11-30_cases,2020-12-31_cases,2021-01-31_cases,Country_clean_cases,Country_Binned_cases
0,Afghanistan,0,1,175,2127,15208,31507,36665,38159,39268,41425,46274,51526,55023,Afghanistan,Asia
1,Albania,0,0,243,773,1137,2535,5276,9513,13649,20875,38182,58316,78127,Albania,Europe
2,Algeria,0,1,716,4006,9394,13907,30394,44494,51530,57942,83199,99610,107339,Algeria,Africa
3,Andorra,0,0,376,745,764,855,925,1176,2050,4756,6745,8049,9937,Andorra,Europe
4,Angola,0,0,7,27,86,284,1148,2654,4972,10805,15139,17553,19796,Angola,Africa
5,Antigua and Barbuda,0,0,7,24,26,69,91,94,101,128,141,159,234,Antigua and Barbuda,North America
6,Argentina,0,0,1054,4428,16851,64530,191302,417735,751001,1166924,1424533,1625514,1927239,Argentina,South America
7,Armenia,0,0,532,2066,9282,25542,38550,43781,50359,89813,135124,159409,167026,Armenia,Asia
8,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,Aruba,North America
9,Australia,9,25,4559,6766,7202,7920,17280,25819,27096,27595,27912,28425,28818,Australia,Australia
10,Austria,0,9,10180,15452,16731,17766,21130,27438,44813,104925,282456,360815,414398,Austria,Europe
11,Azerbaijan,0,0,298,1804,5494,17524,31878,36435,40229,55269,121176,218700,230219,Azerbaijan,Asia
12,Bahamas,0,0,14,81,102,104,574,2217,4123,6714,7541,7871,8174,Bahamas,North America
13,Bahrain,0,41,567,3040,11398,26758,40982,51972,70864,81645,86956,92675,103057,Bahrain,Asia
14,Bangladesh,0,0,51,7667,47153,145483,237661,312996,363479,407684,464932,513510,535139,Bangladesh,Asia
15,Barbados,0,0,34,81,92,97,110,174,190,237,276,383,1545,Barbados,North America
16,Belarus,0,1,152,14027,42556,62118,67808,71843,78631,98482,136647,194284,248336,Belarus,Europe
17,Belgium,0,1,12775,48519,58381,61427,68751,85236,118452,429229,577345,646496,710153,Belgium,Europe
18,Belize,0,0,3,18,18,24,48,1007,1992,3487,5854,10776,11908,Belize,North America
19,Benin,0,0,9,64,232,1199,1805,2145,2357,2643,3015,3251,3893,Benin,Africa
20,Bhutan,0,0,4,7,43,77,101,225,282,349,410,670,859,Bhutan,Asia
21,Bolivia,0,0,107,1110,9982,33219,76789,116598,135311,141757,144708,160124,216835,Bolivia,South America
22,Bosnia and Herzegovina,0,0,420,1757,2510,4453,11876,19964,27469,50090,87901,110985,121497,Bosnia and Herzegovina,Europe
23,Botswana,0,0,4,23,35,227,804,1633,3172,6642,10742,14805,21293,Botswana,Africa
24,Brazil,0,2,5717,87187,514849,1402041,2662485,3908272,4810935,5535605,6335878,7675973,9204731,Brazil,South America
25,Brunei,0,0,129,138,141,141,141,144,146,148,150,157,180,Brunei,Asia
26,Bulgaria,0,0,399,1506,2513,4989,11690,16266,20833,52844,145300,202266,218748,Bulgaria,Europe
27,Burkina Faso,0,0,261,645,847,962,1106,1368,2056,2500,2886,6707,10682,Burkina Faso,Africa
28,Burma,0,0,15,151,224,299,353,882,13373,52706,90713,124630,140145,Myanmar,Asia
29,Burundi,0,0,2,11,63,170,387,445,508,585,688,818,1632,Burundi,Africa
30,Cambodia,1,1,109,122,125,141,239,274,277,291,326,378,466,Cambodia,Asia
31,Cameroon,0,0,193,1832,5904,12592,17255,19142,20838,21793,24445,26277,29617,Cameroon,Africa
32,Canada,3,20,8527,54457,92479,106097,118281,130918,161107,237313,381557,584409,783695,Canada,North America
33,Cape Verde,0,0,6,121,435,1227,2451,3884,6024,8793,10761,11840,14070,Cape Verde,Africa
34,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,Cayman Islands,North America
35,Central African Republic,0,0,3,50,1011,3745,4608,4711,4829,4866,4913,4963,4981,Central African Republic,Africa
36,Chad,0,0,7,73,778,866,936,1013,1200,1483,1688,2113,3376,Chad,Africa
37,Channel Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,France,Europe
38,Chile,0,0,2738,16023,99688,279393,355667,411726,462991,510256,551743,608973,727109,Chile,South America
39,China,9783,79251,82279,83956,84146,84785,87655,89914,90545,91366,92902,95963,100063,China,Asia
40,Colombia,0,0,906,6507,27219,95269,295508,615094,829679,1073809,1316806,1642775,2094884,Colombia,South America
41,Comoros,0,0,0,1,106,303,378,423,479,545,611,823,2726,Comoros,Africa
42,Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,Congo,Africa
43,Congo (Brazzaville),0,0,19,220,611,1087,3200,3979,5089,5290,5774,7107,7887,Congo,Africa
44,Congo (Kinshasa),0,0,98,572,3070,7039,9070,10097,10659,11306,12772,17658,22771,Congo,Africa
45,Costa Rica,0,0,347,719,1056,3459,17820,41287,75760,109971,139638,169321,193276,Costa Rica,North America
46,Croatia,0,6,867,2076,2246,2777,5139,10269,16593,49316,128442,210837,232426,Croatia,Europe
48,Cuba,0,0,186,1501,2045,2341,2608,4032,5597,6887,8284,11863,26686,Cuba,North America
50,Cyprus,0,0,262,850,944,998,1114,1488,1755,4366,10565,22019,30876,Cyprus,Asia
51,Czech Republic,0,0,3308,7682,9268,11954,16574,24618,68919,335102,523298,718661,984774,Czech Republic,Europe
