,Country,2020-01-31_recovery,2020-02-29_recovery,2020-03-31_recovery,2020-04-30_recovery,2020-05-31_recovery,2020-06-30_recovery,2020-07-31_recovery,2020-08-31_recovery,2020-09-30_recovery,2020-10-31_recovery,2020-11-30_recovery,2020-12-31_recovery,2021-01-31_recovery,2020-01-31_cases,2020-02-29_cases,2020-03-31_cases,2020-04-30_cases,2020-05-31_cases,2020-06-30_cases,2020-07-31_cases,2020-08-31_cases,2020-09-30_cases,2020-10-31_cases,2020-11-30_cases,2020-12-31_cases,2021-01-31_cases,2020-01-31_deaths,2020-02-29_deaths,2020-03-31_deaths,2020-04-30_deaths,2020-05-31_deaths,2020-06-30_deaths,2020-07-31_deaths,2020-08-31_deaths,2020-09-30_deaths,2020-10-31_deaths,2020-11-30_deaths,2020-12-31_deaths,2021-01-31_deaths,Country_clean_deaths,Country_Binned_deaths
0,Afghanistan,0,0,5,260,1328,14131,25509,29089,32789,34321,36831,41727,47679,0,1,175,2127,15208,31507,36665,38159,39268,41425,46274,51526,55023,0,0,4,64,258,752,1284,1403,1460,1538,1795,2191,2400,Afghanistan,Asia
1,Albania,0,0,52,470,872,1459,2952,5214,7847,11189,18849,33634,47424,0,0,243,773,1137,2535,5276,9513,13649,20875,38182,58316,78127,0,0,15,31,33,62,157,284,387,509,810,1181,1380,Albania,Europe
2,Algeria,0,0,46,1779,5748,9897,20537,31244,36174,40201,53809,67127,73344,0,1,716,4006,9394,13907,30394,44494,51530,57942,83199,99610,107339,0,0,44,450,653,912,1210,1510,1736,1964,2431,2756,2891,Algeria,Africa
3,Andorra,0,0,10,468,694,799,807,908,1432,3475,5873,7432,9093,0,0,376,745,764,855,925,1176,2050,4756,6745,8049,9937,0,0,12,42,51,52,52,53,53,75,76,84,101,Andorra,Europe
4,Angola,0,0,1,7,18,93,437,1071,1941,4523,7851,11044,18035,0,0,7,27,86,284,1148,2654,4972,10805,15139,17553,19796,0,0,2,2,4,13,52,108,183,284,348,405,466,Angola,Africa
5,Antigua and Barbuda,0,0,0,11,19,22,67,91,92,117,130,148,177,0,0,7,24,26,69,91,94,101,128,141,159,234,0,0,0,3,3,3,3,3,3,3,4,5,7,Antigua and Barbuda,North America
6,Argentina,0,0,240,1256,5336,22028,83780,301195,594645,973939,1257227,1426676,1721650,0,0,1054,4428,16851,64530,191302,417735,751001,1166924,1424533,1625514,1927239,0,0,27,218,539,1307,3543,8660,16937,31002,38730,43245,47974,Argentina,South America
7,Armenia,0,0,30,929,3386,14048,28997,37722,44001,55317,108442,142801,157519,0,0,532,2066,9282,25542,38550,43781,50359,89813,135124,159409,167026,0,0,3,32,131,443,738,879,959,1341,2164,2823,3080,Armenia,Asia
8,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aruba,North America
9,Australia,2,11,358,5742,6618,7040,9983,21350,24784,25336,25602,25762,26061,9,25,4559,6766,7202,7920,17280,25819,27096,27595,27912,28425,28818,0,0,18,93,103,104,201,657,888,907,908,909,909,Australia,Australia
