,Country,January_2020_deaths,February_2020_deaths,March_2020_deaths,April_2020_deaths,May_2020_deaths,June_2020_deaths,July_2020_deaths,August_2020_deaths,September_2020_deaths,October_2020_deaths,November_2020_deaths,December_2020_deaths,January_2021_deaths,Country_clean_deaths,Country_Binned_deaths
0,Afghanistan,0,0,4,64,258,752,1284,1403,1460,1538,1795,2191,2400,Afghanistan,Asia
1,Albania,0,0,15,31,33,62,157,284,387,509,810,1181,1380,Albania,Europe
2,Algeria,0,0,44,450,653,912,1210,1510,1736,1964,2431,2756,2891,Algeria,Africa
3,Andorra,0,0,12,42,51,52,52,53,53,75,76,84,101,Andorra,Europe
4,Angola,0,0,2,2,4,13,52,108,183,284,348,405,466,Angola,Africa
5,Antigua and Barbuda,0,0,0,3,3,3,3,3,3,3,4,5,7,Antigua and Barbuda,North America
6,Argentina,0,0,27,218,539,1307,3543,8660,16937,31002,38730,43245,47974,Argentina,South America
7,Armenia,0,0,3,32,131,443,738,879,959,1341,2164,2823,3080,Armenia,Asia
8,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,Aruba,North America
9,Australia,0,0,18,93,103,104,201,657,888,907,908,909,909,Australia,Australia
10,Austria,0,0,128,584,668,705,718,733,799,1109,3184,6222,7721,Austria,Europe
11,Azerbaijan,0,0,5,24,63,213,448,534,591,730,1392,2641,3132,Azerbaijan,Asia
12,Bahamas,0,0,0,11,11,11,14,50,96,144,163,170,176,Bahamas,North America
13,Bahrain,0,0,4,8,19,87,147,190,251,321,341,352,375,Bahrain,Asia
14,Bangladesh,0,0,5,168,650,1847,3111,4281,5251,5923,6644,7559,8127,Bangladesh,Asia
15,Barbados,0,0,0,7,7,7,7,7,7,7,7,7,14,Barbados,North America
16,Belarus,0,0,1,89,235,392,559,681,833,980,1158,1424,1718,Belarus,Europe
17,Belgium,0,0,705,7594,9467,9747,9841,9895,10016,11625,16645,19528,21092,Belgium,Europe
18,Belize,0,0,0,2,2,2,2,13,27,59,148,248,301,Belize,North America
19,Benin,0,0,0,1,3,21,36,40,41,41,43,44,52,Benin,Africa
20,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,1,Bhutan,Asia
21,Bolivia,0,0,6,59,313,1123,2977,5027,7965,8725,8957,9165,10379,Bolivia,South America
22,Bosnia and Herzegovina,0,0,13,69,153,186,339,609,856,1234,2681,4050,4679,Bosnia and Herzegovina,Europe
23,Botswana,0,0,1,1,1,1,2,6,16,24,34,42,134,Botswana,Africa
24,Brazil,0,0,201,6006,29314,59594,92475,121381,143952,159884,173120,194949,224504,Brazil,South America
25,Brunei,0,0,1,1,2,3,3,3,3,3,3,3,3,Brunei,Asia
26,Bulgaria,0,0,8,66,140,230,383,629,825,1279,4035,7576,9045,Bulgaria,Europe
27,Burkina Faso,0,0,14,43,53,53,53,55,58,67,68,85,120,Burkina Faso,Africa
28,Burma,0,0,1,6,6,6,6,6,310,1237,1941,2682,3131,Myanmar,Asia
29,Burundi,0,0,0,1,1,1,1,1,1,1,1,2,2,Burundi,Africa
30,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,Cambodia,Asia
31,Cameroon,0,0,6,61,191,313,391,411,418,426,437,448,462,Cameroon,Africa
32,Canada,0,0,152,4179,7906,8780,9025,9193,9391,10276,12239,15762,20041,Canada,North America
33,Cape Verde,0,0,1,1,4,15,23,40,60,95,105,113,134,Cape Verde,Africa
34,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,Cayman Islands,North America
35,Central African Republic,0,0,0,0,2,47,59,62,62,62,63,63,63,Central African Republic,Africa
36,Chad,0,0,0,5,65,74,75,77,85,98,101,104,118,Chad,Africa
37,Channel Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,France,Europe
38,Chile,0,0,12,227,1054,5688,9457,11289,12741,14207,15410,16608,18452,Chile,South America
39,China,213,2835,3309,4637,4638,4641,4661,4723,4739,4739,4743,4782,4817,China,Asia
40,Colombia,0,0,16,293,916,3376,10105,19662,25998,31598,36766,43213,53983,Colombia,South America
41,Comoros,0,0,0,0,2,7,7,7,7,7,7,10,93,Comoros,Africa
42,Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,Congo,Africa
43,Congo (Brazzaville),0,0,0,9,20,37,54,78,89,92,94,108,117,Congo,Africa
44,Congo (Kinshasa),0,0,8,31,72,170,215,258,272,307,333,591,671,Congo,Africa
45,Costa Rica,0,0,2,6,10,16,150,436,904,1385,1726,2185,2604,Costa Rica,North America
46,Croatia,0,0,6,69,103,107,145,186,280,546,1786,3920,5027,Croatia,Europe
48,Cuba,0,0,6,61,83,86,87,94,122,128,135,146,214,Cuba,North America
50,Cyprus,0,0,8,15,17,19,19,20,22,26,49,119,199,Cyprus,Asia
51,Czech Republic,0,0,31,236,320,349,382,424,655,3251,8295,11580,16308,Czech Republic,Europe
52,Denmark,0,0,90,452,574,605,615,624,650,721,837,1298,2126,Denmark,Europe
54,Djibouti,0,0,0,2,24,54,58,60,61,61,61,61,63,Djibouti,Africa
55,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,Dominica,North America
56,Dominican Republic,0,0,51,301,502,747,1160,1710,2105,2245,2331,2414,2666,Dominican Republic,North America
58,Ecuador,0,0,75,900,3358,4527,5702,6556,11355,12670,13461,14034,14859,Ecuador,South America
59,Egypt,0,0,46,392,959,2953,4805,5421,5930,6266,6650,7631,9316,Egypt,Africa
60,El Salvador,0,0,1,10,46,174,448,717,843,975,1114,1327,1623,El Salvador,North America
61,Equatorial Guinea,0,0,0,1,12,32,83,83,83,83,85,86,86,Equatorial Guinea,Africa
62,Eritrea,0,0,0,0,0,0,0,0,0,0,0,3,7,Eritrea,Africa
