,Country,January_2020_recovery,February_2020_recovery,March_2020_recovery,April_2020_recovery,May_2020_recovery,June_2020_recovery,July_2020_recovery,August_2020_recovery,September_2020_recovery,October_2020_recovery,November_2020_recovery,December_2020_recovery,January_2021_recovery,January_2020_cases,February_2020_cases,March_2020_cases,April_2020_cases,May_2020_cases,June_2020_cases,July_2020_cases,August_2020_cases,September_2020_cases,October_2020_cases,November_2020_cases,December_2020_cases,January_2021_cases,January_2020_deaths,February_2020_deaths,March_2020_deaths,April_2020_deaths,May_2020_deaths,June_2020_deaths,July_2020_deaths,August_2020_deaths,September_2020_deaths,October_2020_deaths,November_2020_deaths,December_2020_deaths,January_2021_deaths,ages_10-14_female,ages_10-14_male,ages_20-24_female,ages_20-24_male,ages_30-34_female,ages_30-34_male,ages_40-44_female,ages_40-44_male,ages_50-54_female,ages_50-54_male,ages_65_and_above_female,ages_65_and_above_male,Countries_Binned
0,Afghanistan,0,0,5,260,1328,14131,25509,29089,32789,34321,36831,41727,47679,0,1,175,2127,15208,31507,36665,38159,39268,41425,46274,51526,55023,0,0,4,64,258,752,1284,1403,1460,1538,1795,2191,2400,13.51315874,13.38952152,9.961009138,9.988106849,6.14755378,6.430479033,4.097513887,4.272471397,2.620193463,2.612504517,2.882233877,2.363156433,Asia
1,Albania,0,0,52,470,872,1459,2952,5214,7847,11189,18849,33634,47424,0,0,243,773,1137,2535,5276,9513,13649,20875,38182,58316,78127,0,0,15,31,33,62,157,284,387,509,810,1181,1380,5.478358395,6.127823778,8.085760271,8.261469813,6.886434608,8.088029261,5.617101139,5.194012756,6.903901203,6.233360717,15.04269769,13.39221495,Europe
2,Algeria,0,0,46,1779,5748,9897,20537,31244,36174,40201,53809,67127,73344,0,1,716,4006,9394,13907,30394,44494,51530,57942,83199,99610,107339,0,0,44,450,653,912,1210,1510,1736,1964,2431,2756,2891,8.324689951,8.489353354,7.144027983,7.28309575,8.681971149,8.619346155,6.789647731,6.677523232,4.723239327,4.592930301,6.750311265,6.359306851,Africa
3,Andorra,0,0,10,468,694,799,807,908,1432,3475,5873,7432,9093,0,0,376,745,764,855,925,1176,2050,4756,6745,8049,9937,0,0,12,42,51,52,52,53,53,75,76,84,101,..,..,..,..,..,..,..,..,..,..,..,..,Europe
4,Angola,0,0,1,7,18,93,437,1071,1941,4523,7851,11044,18035,0,0,7,27,86,284,1148,2654,4972,10805,15139,17553,19796,0,0,2,2,4,13,52,108,183,284,348,405,466,13.09818339,13.24566067,8.76425638,8.740961051,6.258883419,6.132921904,4.114095813,3.961275036,2.458228963,2.330429662,2.41000291,1.984219658,Africa
5,Antigua and Barbuda,0,0,0,11,19,22,67,91,92,117,130,148,177,0,0,7,24,26,69,91,94,101,128,141,159,234,0,0,0,3,3,3,3,3,3,3,4,5,7,6.704599714,7.350963693,7.490450422,8.179121043,7.369091198,7.156730913,7.408881108,6.838701415,7.16218367,6.689291584,9.422250517,8.657232503,North America
6,Argentina,0,0,240,1256,5336,22028,83780,301195,594645,973939,1257227,1426676,1721650,0,0,1054,4428,16851,64530,191302,417735,751001,1166924,1424533,1625514,1927239,0,0,27,218,539,1307,3543,8660,16937,31002,38730,43245,47974,7.669148874,8.349701702,7.498040477,8.090249647,7.150474776,7.487550601,6.744031848,6.814146428,5.154307506,4.97166049,12.97891475,9.420209268,South America
7,Armenia,0,0,30,929,3386,14048,28997,37722,44001,55317,108442,142801,157519,0,0,532,2066,9282,25542,38550,43781,50359,89813,135124,159409,167026,0,0,3,32,131,443,738,879,959,1341,2164,2823,3080,5.737462647,7.4076257,5.724056614,6.93115422,9.010513521,9.033048246,6.376738874,6.023062398,6.183819685,5.267636956,13.17889584,9.574783884,Asia
8,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.118101921,6.972226077,6.746379795,7.616517654,4.727298763,5.20984081,6.785759035,6.179251829,8.108543505,7.634359574,15.42950221,12.54088773,North America
9,Australia,2,11,358,5742,6618,7040,9983,21350,24784,25336,25602,25762,26061,9,25,4559,6766,7202,7920,17280,25819,27096,27595,27912,28425,28818,0,0,18,93,103,104,201,657,888,907,908,909,909,6.075179762,6.446681147,6.232057521,6.533811488,7.372393166,7.444154639,6.423372826,6.401920883,6.212487321,6.110381617,16.81245386,15.02307608,Australia
