,Country,2020-01-31_recovery,2020-02-29_recovery,2020-03-31_recovery,2020-04-30_recovery,2020-05-31_recovery,2020-06-30_recovery,2020-07-31_recovery,2020-08-31_recovery,2020-09-30_recovery,2020-10-31_recovery,2020-11-30_recovery,2020-12-31_recovery,2021-01-31_recovery,Country_clean_recovery,Country_Binned_recovery
0,Afghanistan,0,0,5,260,1328,14131,25509,29089,32789,34321,36831,41727,47679,Afghanistan,Asia
1,Albania,0,0,52,470,872,1459,2952,5214,7847,11189,18849,33634,47424,Albania,Europe
2,Algeria,0,0,46,1779,5748,9897,20537,31244,36174,40201,53809,67127,73344,Algeria,Africa
3,Andorra,0,0,10,468,694,799,807,908,1432,3475,5873,7432,9093,Andorra,Europe
4,Angola,0,0,1,7,18,93,437,1071,1941,4523,7851,11044,18035,Angola,Africa
5,Antigua and Barbuda,0,0,0,11,19,22,67,91,92,117,130,148,177,Antigua and Barbuda,North America
6,Argentina,0,0,240,1256,5336,22028,83780,301195,594645,973939,1257227,1426676,1721650,Argentina,South America
7,Armenia,0,0,30,929,3386,14048,28997,37722,44001,55317,108442,142801,157519,Armenia,Asia
8,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,Aruba,North America
9,Australia,2,11,358,5742,6618,7040,9983,21350,24784,25336,25602,25762,26061,Australia,Australia
10,Austria,0,0,1095,12907,15593,16478,18758,23226,35644,67226,221692,332952,392497,Austria,Europe
11,Azerbaijan,0,0,26,1325,3428,9715,25882,33847,37954,43543,74902,184422,223315,Azerbaijan,Asia
12,Bahamas,0,0,1,25,48,87,91,801,2206,4422,5889,6230,6771,Bahamas,North America
13,Bahrain,0,0,295,1500,6673,21331,37840,49047,64838,78719,85141,90217,98599,Bahrain,Asia
14,Bangladesh,0,0,25,160,9781,59624,135136,204887,275487,324145,380711,457459,479744,Bangladesh,Asia
15,Barbados,0,0,0,39,76,90,96,146,179,221,250,319,1158,Barbados,North America
16,Belarus,0,0,47,2386,18514,46054,62444,70468,74525,86663,114341,175147,235838,Belarus,Europe
17,Belgium,0,1,1696,11576,15887,16984,17546,18422,19454,25569,0,0,0,Belgium,Europe
18,Belize,0,0,0,9,16,18,30,173,1246,2160,3151,9795,11309,Belize,North America
19,Benin,0,0,1,33,143,333,1036,1738,1973,2418,2839,3061,3421,Benin,Africa
